entry_time,exit_time,side,lots,entry,exit,gross_pnl,fees,net_pnl,reason
2025-10-06 09:00:00,2025-10-10 09:00:00,2,2,3943.300048828125,3987.89990234375,1783.994140625,9.993949951171874,1774.0001906738282,stop_hit
2025-10-13 09:00:00,2025-10-20 09:00:00,1,1,4072.0,4274.2998046875,2022.998046875,5.068574951171875,2017.929471923828,stop_hit
2025-11-10 09:00:00,2025-11-17 09:00:00,2,2,4052.89990234375,4092.199951171875,1572.001953125,10.046099975585937,1561.955853149414,stop_hit
2025-11-25 09:00:00,2025-12-04 13:00:00,1,1,4132.0,4210.2998046875,782.998046875,5.052574951171875,777.9454719238281,stop_hit
2025-12-11 09:00:00,2025-12-11 11:00:00,2,2,4267.7001953125,4244.60009765625,-924.00390625,10.122300048828125,-934.1262062988282,stop_hit
2025-12-12 09:00:00,2025-12-16 13:00:00,2,2,4302.10009765625,4309.89990234375,311.9921875,10.154949951171876,301.8372375488281,stop_hit
2025-12-22 09:00:00,2025-12-30 09:00:00,2,2,4415.60009765625,4374.7001953125,-1635.99609375,10.18735009765625,-1646.1834438476562,stop_hit
2026-01-12 09:00:00,2026-01-15 11:00:00,1,1,4582.10009765625,4596.10009765625,140.0,5.149025024414063,134.85097497558593,stop_hit
2026-01-19 12:00:00,2026-01-30 09:00:00,1,1,4671.2001953125,5331.7001953125,6605.0,5.332925048828125,6599.667074951172,stop_hit
2026-02-11 10:00:00,2026-02-13 09:00:00,1,1,5079.2001953125,4999.7998046875,-794.00390625,5.249949951171875,-799.2538562011719,stop_hit
2026-02-23 09:00:00,2026-03-04 09:00:00,1,1,5179.39990234375,5183.7001953125,43.0029296875,5.295925048828125,37.707004638671876,stop_hit
2026-03-11 09:00:00,2026-03-12 12:00:00,1,1,5215.89990234375,5147.39990234375,-685.0,5.2868499755859375,-690.2868499755859,stop_hit
2026-03-31 09:00:00,2026-04-02 13:00:00,1,1,4635.5,4622.10009765625,-133.9990234375,5.155525024414063,-139.15454846191406,stop_hit
2026-04-08 09:00:00,2026-04-09 09:00:00,1,1,4838.60009765625,4751.2001953125,-873.9990234375,5.187800048828125,-879.1868234863281,stop_hit
2026-04-15 09:00:00,2026-04-17 09:00:00,1,1,4871.0,4810.2001953125,-607.998046875,5.202550048828125,-613.2005969238281,stop_hit
